Timestamp,Name (Optional),Age (Optional),Gender,Have you thought of working while studying?,"If you were to work while studying, where do you plan to work?",What are the factors that will motivate a student like you to take a part time job?,Do you think having a part time job will affect your academic performance negatively?,How will you rate the stress level of a working student?,"In this time of pandemic, how easy will it be for you to balance studying and working?"
2021/09/09 8:23:57 PM GMT+8,Kyla,20,Female,Yes,Fast food chains,To support your own studies,Yes,3,4
2021/09/09 8:52:22 PM GMT+8,,,Prefer not to say,Yes,As a freelancer,To support your own studies,No,4,4
2021/09/09 8:52:45 PM GMT+8,,,Female,Yes,As a freelancer,To explore,Yes,2,3
2021/09/09 8:55:23 PM GMT+8,Alliah,21,Female,Yes,As a freelancer,To support your own studies,No,3,1
2021/09/09 8:55:59 PM GMT+8,A,,Female,Yes,Fast food chains,To provide for my family,Yes,3,4
2021/09/09 8:56:18 PM GMT+8,,,Female,Yes,Fast food chains,To explore,No,3,4
2021/09/09 8:56:47 PM GMT+8,,,Female,Yes,As a tutor,To provide for my family,No,4,3
2021/09/09 8:57:50 PM GMT+8,,,Male,Yes,Fast food chains,To explore,Yes,4,4
2021/09/09 8:57:59 PM GMT+8,,19,Female,Yes,As a freelancer,To support your own studies,No,3,3
2021/09/09 8:59:38 PM GMT+8,Kyla,21,Female,Yes,Fast food chains,To support your own studies,No,3,2
2021/09/09 9:00:17 PM GMT+8,,,Male,No,As a tutor,To support your own studies,Yes,3,3
2021/09/09 9:00:35 PM GMT+8,,,Male,No,Fast food chains,To support your own studies,Yes,2,3
2021/09/09 9:01:34 PM GMT+8,Christopher S Ferrer,21,Male,Yes,Fast food chains,To provide for my family,No,4,3
2021/09/09 9:02:54 PM GMT+8,,,Female,Yes,As a freelancer,To support your own studies,No,3,3
2021/09/09 9:03:54 PM GMT+8,,,Male,Yes,As a freelancer,To support your own studies,No,3,4
2021/09/09 9:04:57 PM GMT+8,Dominic,19,Male,Yes,As a freelancer,To provide for my family,No,4,4
2021/09/09 9:06:00 PM GMT+8,,,Male,Yes,As a tutor,To provide for my family,No,3,4
2021/09/09 9:06:00 PM GMT+8,bert,22,Male,Yes,As a freelancer,To support your own studies,Yes,4,4
2021/09/09 9:11:13 PM GMT+8,Cristy,20,Female,Yes,Fast food chains,To explore,Yes,3,3
2021/09/09 9:11:47 PM GMT+8,Bernie,18,Male,Yes,As a freelancer,To support your own studies,No,3,3
2021/09/09 9:12:26 PM GMT+8,Tia,21,Prefer not to say,Yes,As a tutor,To support your own studies,No,3,4
2021/09/09 9:13:04 PM GMT+8,Haille,,Female,No,As a freelancer,To explore,No,4,4
2021/09/09 9:13:48 PM GMT+8,Kaylee,,Female,Yes,Fast food chains,To explore,No,4,4
2021/09/09 9:14:12 PM GMT+8,,,Prefer not to say,Yes,Fast food chains,To provide for my family,No,3,4
2021/09/09 9:15:10 PM GMT+8,Ange,20,Female,Yes,Fast food chains,To support your own studies,No,2,2
2021/09/09 9:15:19 PM GMT+8,Jun,,Male,Yes,Fast food chains,To provide for my family,No,4,4
2021/09/09 9:15:55 PM GMT+8,Josh,19,Male,No,As a freelancer,To explore,Yes,4,4
2021/09/09 9:16:32 PM GMT+8,Dwayne,,Male,No,As a freelancer,To support your own studies,Yes,4,4
2021/09/09 9:19:10 PM GMT+8,,,Female,No,As a tutor,To support your own studies,No,4,4
2021/09/09 9:24:24 PM GMT+8,Anne,20,Female,Yes,As a freelancer,To support your own studies,Yes,3,3
2021/09/09 9:27:13 PM GMT+8,,,Female,Yes,As a tutor,To support your own studies,No,4,4
2021/09/09 9:29:06 PM GMT+8,Sandra,20,Female,Yes,As a tutor,To explore,No,3,4
2021/09/09 9:36:12 PM GMT+8,,,Female,Yes,Fast food chains,To explore,No,2,2
2021/09/09 9:38:09 PM GMT+8,Cai,21,Female,Yes,As a freelancer,To support your own studies,No,3,4
2021/09/09 9:55:21 PM GMT+8,Abbiegail,19,Female,Yes,Fast food chains,To explore,No,3,4
2021/09/09 10:07:32 PM GMT+8,,,Male,Yes,As a freelancer,To explore,No,3,3
2021/09/09 10:07:57 PM GMT+8,,19,Female,Yes,As a tutor,To provide for my family,Yes,4,4
2021/09/09 10:10:50 PM GMT+8,"Perez, Pauleen Kaye D.",19,Female,Yes,Fast food chains,To provide for my family,Yes,3,3
